SampleID	Population	Superpopulation
HG00271	FIN	EUR
HG00276	FIN	EUR
HG00288	FIN	EUR
HG00290	FIN	EUR
HG00308	FIN	EUR
HG00310	FIN	EUR
HG00315	FIN	EUR
HG00327	FIN	EUR
HG00334	FIN	EUR
HG00339	FIN	EUR
HG00341	FIN	EUR
HG00346	FIN	EUR
HG00353	FIN	EUR
HG00358	FIN	EUR
HG00360	FIN	EUR
HG00365	FIN	EUR
HG00372	FIN	EUR
HG00132	GBR	EUR
HG00137	GBR	EUR
HG00144	GBR	EUR
HG00149	GBR	EUR
HG00151	GBR	EUR
HG00156	GBR	EUR
HG00182	FIN	EUR
HG00187	FIN	EUR
HG00136	GBR	EUR
HG00233	GBR	EUR
HG00143	GBR	EUR
HG00238	GBR	EUR
HG00148	GBR	EUR
HG00240	GBR	EUR
HG00150	GBR	EUR
HG00245	GBR	EUR
HG00155	GBR	EUR
HG00252	GBR	EUR
HG00174	FIN	EUR
HG00257	GBR	EUR
HG00179	FIN	EUR
HG00264	GBR	EUR
HG00181	FIN	EUR
HG00269	FIN	EUR
HG00186	FIN	EUR
HG00377	FIN	EUR
HG00232	GBR	EUR
HG00384	FIN	EUR
HG00237	GBR	EUR
HG00404	CHS	EAS
HG00244	GBR	EUR
HG00409	CHS	EAS
HG00249	GBR	EUR
HG00251	GBR	EUR
HG00423	CHS	EAS
HG00256	GBR	EUR
HG00428	CHS	EAS
HG00263	GBR	EUR
HG00442	CHS	EAS
HG00268	FIN	EUR
HG00447	CHS	EAS
HG00383	FIN	EUR
HG00459	CHS	EAS
HG00403	CHS	EAS
HG00473	CHS	EAS
HG00408	CHS	EAS
HG00098	GBR	EUR
HG00410	CHS	EAS
HG00101	GBR	EUR
HG00422	CHS	EAS
HG00106	GBR	EUR
HG00427	CHS	EAS
HG00113	GBR	EUR
HG00446	CHS	EAS
HG00118	GBR	EUR
HG00453	CHS	EAS
HG00120	GBR	EUR
HG00458	CHS	EAS
HG00125	GBR	EUR
HG00465	CHS	EAS
HG00472	CHS	EAS
HG00270	FIN	EUR
HG00275	FIN	EUR
HG00282	FIN	EUR
HG00319	FIN	EUR
HG00478	CHS	EAS
HG00321	FIN	EUR
HG00480	CHS	EAS
HG00326	FIN	EUR
HG00500	CHS	EAS
HG00338	FIN	EUR
HG00512	CHS	EAS
HG00345	FIN	EUR
HG00524	CHS	EAS
HG00357	FIN	EUR
HG00531	CHS	EAS
HG00364	FIN	EUR
HG00536	CHS	EAS
HG00369	FIN	EUR
HG00543	CHS	EAS
HG00371	FIN	EUR
HG00555	PUR	AMR
HG00376	FIN	EUR
HG00567	CHS	EAS
HG00097	GBR	EUR
HG00579	CHS	EAS
HG00100	GBR	EUR
HG00581	CHS	EAS
HG00105	GBR	EUR
HG00733	PUR	AMR
HG00112	GBR	EUR
HG00738	PUR	AMR
HG00117	GBR	EUR
HG00740	PUR	AMR
HG00124	GBR	EUR
HG00978	CDX	EAS
HG00129	GBR	EUR
HG01142	CLM	AMR
HG00131	GBR	EUR
HG01161	PUR	AMR
HG01173	PUR	AMR
HG01178	PUR	AMR
HG01192	PUR	AMR
HG01197	PUR	AMR
HG01200	PUR	AMR
HG00477	CHS	EAS
HG01205	PUR	AMR
HG00530	CHS	EAS
HG01243	PUR	AMR
HG00535	CHS	EAS
HG01248	PUR	AMR
HG00542	CHS	EAS
HG01250	CLM	AMR
HG00554	PUR	AMR
HG00651	CHS	EAS
HG00559	CHS	EAS
HG00656	CHS	EAS
HG00561	CHS	EAS
HG00663	CHS	EAS
HG00566	CHS	EAS
HG00675	CHS	EAS
HG00578	CHS	EAS
HG00694	CHS	EAS
HG00580	CHS	EAS
HG00699	CHS	EAS
HG00585	CHS	EAS
HG00702	CHS	EAS
HG00718	CHS	EAS
HG00707	CHS	EAS
HG00732	PUR	AMR
HG00593	CHS	EAS
HG00737	PUR	AMR
HG00598	CHS	EAS
HG00864	CDX	EAS
HG00613	CHS	EAS
HG00650	CHS	EAS
HG00620	CHS	EAS
HG00655	CHS	EAS
HG00625	CHS	EAS
HG00662	CHS	EAS
HG00632	CHS	EAS
HG00674	CHS	EAS
HG00637	PUR	AMR
HG00693	CHS	EAS
HG01089	PUR	AMR
HG00698	CHS	EAS
HG01096	PUR	AMR
HG00701	CHS	EAS
HG01104	PUR	AMR
HG00706	CHS	EAS
HG01109	PUR	AMR
HG01141	CLM	AMR
HG01111	PUR	AMR
HG01172	PUR	AMR
HG01177	PUR	AMR
HG01130	CLM	AMR
HG01184	PUR	AMR
HG01135	CLM	AMR
HG01189	PUR	AMR
HG01046	CDX	EAS
HG01191	PUR	AMR
HG01053	PUR	AMR
HG01204	PUR	AMR
HG01058	PUR	AMR
HG01242	PUR	AMR
HG01060	PUR	AMR
HG01247	PUR	AMR
HG01072	PUR	AMR
HG01088	PUR	AMR
HG01077	PUR	AMR
HG01084	PUR	AMR
HG01095	PUR	AMR
HG01325	PUR	AMR
HG01103	PUR	AMR
HG01344	CLM	AMR
HG01108	PUR	AMR
HG01349	CLM	AMR
HG01110	PUR	AMR
HG01351	CLM	AMR
HG01122	CLM	AMR
HG01356	CLM	AMR
HG01134	CLM	AMR
HG01363	CLM	AMR
HG01139	CLM	AMR
HG01255	CLM	AMR
HG00592	CHS	EAS
HG01274	CLM	AMR
HG00597	CHS	EAS
HG01279	CLM	AMR
HG01281	CLM	AMR
HG00612	CHS	EAS
HG01286	PUR	AMR
HG00629	CHS	EAS
HG01414	PUR	AMR
HG00631	CHS	EAS
HG00636	CHS	EAS
HG01438	CLM	AMR
HG01312	PUR	AMR
HG01440	CLM	AMR
HG01343	CLM	AMR
HG01348	CLM	AMR
HG01457	CLM	AMR
HG01350	CLM	AMR
HG01464	CLM	AMR
HG01355	CLM	AMR
HG01503	IBS	EUR
HG01362	CLM	AMR
HG01508	IBS	EUR
HG01367	CLM	AMR
HG01510	IBS	EUR
HG01254	CLM	AMR
HG01515	IBS	EUR
HG01259	CLM	AMR
HG01522	IBS	EUR
HG01261	CLM	AMR
HG01527	IBS	EUR
HG01273	CLM	AMR
HG01596	KHV	EAS
HG01278	CLM	AMR
HG01604	IBS	EUR
HG01280	CLM	AMR
HG01609	IBS	EUR
HG01305	PUR	AMR
HG01611	IBS	EUR
HG01052	PUR	AMR
HG01565	PEL	AMR
HG01064	PUR	AMR
HG01572	PEL	AMR
HG01069	PUR	AMR
HG01577	PEL	AMR
HG01071	PUR	AMR
HG01589	PJL	SAS
HG01083	PUR	AMR
HG01538	IBS	EUR
HG01552	CLM	AMR
HG01488	CLM	AMR
HG01571	PEL	AMR
HG01490	CLM	AMR
HG01583	PJL	SAS
HG01495	CLM	AMR
HG01616	IBS	EUR
HG01413	PUR	AMR
HG01623	IBS	EUR
HG01432	CLM	AMR
HG01628	IBS	EUR
HG01437	CLM	AMR
HG01630	IBS	EUR
HG01444	CLM	AMR
HG01673	IBS	EUR
HG01456	CLM	AMR
HG01678	IBS	EUR
HG01463	CLM	AMR
HG01680	IBS	EUR
HG01502	IBS	EUR
HG01685	IBS	EUR
HG01507	IBS	EUR
HG01697	IBS	EUR
HG01514	IBS	EUR
HG01700	IBS	EUR
HG01519	IBS	EUR
HG01375	CLM	AMR
HG01521	IBS	EUR
HG01526	IBS	EUR
HG01402	PUR	AMR
HG01704	IBS	EUR
HG01705	IBS	EUR
HG01709	IBS	EUR
HG01748	IBS	EUR
HG01711	IBS	EUR
HG01755	IBS	EUR
HG01747	IBS	EUR
HG01762	IBS	EUR
HG01761	IBS	EUR
HG02006	PEL	AMR
HG01766	IBS	EUR
HG02013	ACB	AFR
HG01374	CLM	AMR
HG02018	KHV	EAS
HG01379	CLM	AMR
HG02020	KHV	EAS
HG01393	PUR	AMR
HG02025	KHV	EAS
HG01398	PUR	AMR
HG02032	KHV	EAS
HG01468	CLM	AMR
HG02049	KHV	EAS
HG02051	ACB	AFR
HG02056	KHV	EAS
HG01494	CLM	AMR
HG02068	KHV	EAS
HG01499	CLM	AMR
HG02070	KHV	EAS
HG01595	KHV	EAS
HG02075	KHV	EAS
HG01603	IBS	EUR
HG01863	KHV	EAS
HG01608	IBS	EUR
HG01868	KHV	EAS
HG01610	IBS	EUR
HG01870	KHV	EAS
HG01615	IBS	EUR
HG01882	ACB	AFR
HG01622	IBS	EUR
HG01887	ACB	AFR
HG01627	IBS	EUR
HG01894	ACB	AFR
HG01672	IBS	EUR
HG01914	ACB	AFR
HG01677	IBS	EUR
HG01919	PEL	AMR
HG01684	IBS	EUR
HG01921	PEL	AMR
HG01696	IBS	EUR
HG01926	PEL	AMR
HG02012	ACB	AFR
HG01933	PEL	AMR
HG02017	KHV	EAS
HG01938	PEL	AMR
HG02024	KHV	EAS
HG01940	PEL	AMR
HG02029	KHV	EAS
HG01945	PEL	AMR
HG02031	KHV	EAS
HG01767	IBS	EUR
HG02048	KHV	EAS
HG01774	IBS	EUR
HG02050	KHV	EAS
HG01779	IBS	EUR
HG02055	ACB	AFR
HG01781	IBS	EUR
HG02067	KHV	EAS
HG01786	IBS	EUR
HG02074	KHV	EAS
HG01983	PEL	AMR
HG02079	KHV	EAS
HG01988	ACB	AFR
HG01949	PEL	AMR
HG01990	ACB	AFR
HG01951	PEL	AMR
HG01956	ACB	AFR
HG01952	PEL	AMR
HG01968	PEL	AMR
HG01969	PEL	AMR
HG01970	PEL	AMR
HG01971	PEL	AMR
HG01975	PEL	AMR
HG01976	PEL	AMR
HG01862	KHV	EAS
HG01798	CDX	EAS
HG01867	KHV	EAS
HG01801	CDX	EAS
HG01874	KHV	EAS
HG01806	CDX	EAS
HG01879	ACB	AFR
HG01813	CDX	EAS
HG01881	ACB	AFR
HG01844	KHV	EAS
HG01886	ACB	AFR
HG01849	KHV	EAS
HG01925	PEL	AMR
HG01851	KHV	EAS
HG01932	PEL	AMR
HG02234	IBS	EUR
HG01937	PEL	AMR
HG02239	IBS	EUR
HG01944	PEL	AMR
HG02253	PEL	AMR
HG01893	PEL	AMR
HG02258	ACB	AFR
HG01898	PEL	AMR
HG02260	PEL	AMR
HG01918	PEL	AMR
HG02265	PEL	AMR
HG01920	PEL	AMR
HG02188	CDX	EAS
HG01773	IBS	EUR
HG02190	CDX	EAS
HG01778	IBS	EUR
HG02215	GBR	EUR
HG01780	IBS	EUR
HG02222	IBS	EUR
HG01785	IBS	EUR
HG02145	ACB	AFR
HG01817	CDX	EAS
HG02152	CDX	EAS
HG01843	KHV	EAS
HG02164	CDX	EAS
HG01848	KHV	EAS
HG01850	KHV	EAS
HG01855	KHV	EAS
HG02082	KHV	EAS
HG01982	PEL	AMR
HG02087	KHV	EAS
HG01987	ACB	AFR
HG02102	PEL	AMR
HG01797	CDX	EAS
HG02107	ACB	AFR
HG01800	CDX	EAS
HG02304	PEL	AMR
HG01805	CDX	EAS
HG02309	ACB	AFR
HG01812	CDX	EAS
HG02316	ACB	AFR
HG02081	KHV	EAS
HG02323	ACB	AFR
HG02086	KHV	EAS
HG02330	ACB	AFR
HG02106	PEL	AMR
HG02121	KHV	EAS
HG02113	KHV	EAS
HG02126	KHV	EAS
HG02334	ACB	AFR
HG02133	KHV	EAS
HG02339	ACB	AFR
HG02138	KHV	EAS
HG02353	CDX	EAS
HG02140	KHV	EAS
HG02272	PEL	AMR
HG02360	CDX	EAS
HG02277	PEL	AMR
HG02372	CDX	EAS
HG02284	ACB	AFR
HG02233	IBS	EUR
HG02291	PEL	AMR
HG02238	IBS	EUR
HG02240	IBS	EUR
HG02373	CDX	EAS
HG02252	PEL	AMR
HG02380	CDX	EAS
HG02257	ACB	AFR
HG02385	CDX	EAS
HG02144	ACB	AFR
HG02392	CDX	EAS
HG02151	CDX	EAS
HG02397	CDX	EAS
HG02156	CDX	EAS
HG02549	ACB	AFR
HG02568	GWD	AFR
HG02303	PEL	AMR
HG02570	GWD	AFR
HG02308	ACB	AFR
HG02315	ACB	AFR
HG02582	GWD	AFR
HG02322	ACB	AFR
HG02271	PEL	AMR
HG02594	GWD	AFR
HG02283	ACB	AFR
HG02784	PJL	SAS
HG02789	PJL	SAS
HG02182	CDX	EAS
HG02791	PJL	SAS
HG02187	CDX	EAS
HG02804	GWD	AFR
HG02219	IBS	EUR
HG02221	IBS	EUR
HG02811	GWD	AFR
HG02377	CDX	EAS
HG02816	GWD	AFR
HG02384	CDX	EAS
HG02455	ACB	AFR
HG02389	CDX	EAS
HG02462	GWD	AFR
HG02391	CDX	EAS
HG02479	ACB	AFR
HG02396	CDX	EAS
HG02481	ACB	AFR
HG02120	KHV	EAS
HG02486	ACB	AFR
HG02132	KHV	EAS
HG02493	PJL	SAS
HG02137	KHV	EAS
HG02688	PJL	SAS
HG02733	PJL	SAS
HG02690	PJL	SAS
HG02703	GWD	AFR
HG02757	GWD	AFR
HG02715	GWD	AFR
HG02722	GWD	AFR
HG02769	GWD	AFR
HG02727	PJL	SAS
HG02771	GWD	AFR
HG02602	PJL	SAS
HG02614	GWD	AFR
HG02783	PJL	SAS
HG02621	GWD	AFR
HG02461	GWD	AFR
HG02645	GWD	AFR
HG02652	PJL	SAS
HG02478	ACB	AFR
HG02734	PJL	SAS
HG02480	ACB	AFR
HG02485	ACB	AFR
HG02760	GWD	AFR
HG02492	PJL	SAS
HG02772	GWD	AFR
HG02657	PJL	SAS
HG02790	PJL	SAS
HG02676	GWD	AFR
HG02808	GWD	AFR
HG02810	GWD	AFR
HG02501	ACB	AFR
HG02513	KHV	EAS
HG02555	ACB	AFR
HG02562	GWD	AFR
HG02537	ACB	AFR
HG02574	GWD	AFR
HG02429	ACB	AFR
HG02586	GWD	AFR
HG02436	ACB	AFR
HG02601	PJL	SAS
HG02450	ACB	AFR
HG02613	GWD	AFR
HG02854	GWD	AFR
HG02620	GWD	AFR
HG02861	GWD	AFR
HG02878	GWD	AFR
HG02649	PJL	SAS
HG02885	GWD	AFR
HG02651	PJL	SAS
HG02656	PJL	SAS
HG02675	GWD	AFR
HG02943	ESN	AFR
HG02682	PJL	SAS
HG02979	ESN	AFR
HG02687	PJL	SAS
HG02981	ESN	AFR
HG02694	PJL	SAS
HG03009	BEB	SAS
HG02699	PJL	SAS
HG03016	PJL	SAS
HG02702	GWD	AFR
HG02721	GWD	AFR
HG03028	GWD	AFR
HG02726	PJL	SAS
HG02497	ACB	AFR
HG02505	ACB	AFR
HG03078	MSL	AFR
HG02512	KHV	EAS
HG03085	MSL	AFR
HG02536	ACB	AFR
HG03097	MSL	AFR
HG02409	CDX	EAS
HG03100	ESN	AFR
HG02428	ACB	AFR
HG03105	ESN	AFR
HG02442	ACB	AFR
HG03237	PJL	SAS
HG02839	GWD	AFR
HG03268	ESN	AFR
HG02860	GWD	AFR
HG03270	ESN	AFR
HG02884	GWD	AFR
HG03054	MSL	AFR
